AmountOfGivenCredit,Gender,Education,MaritalStatus,Age,RepaymentStatus,AmountOfBillStatement,AmountOfPreviousPayment,Outcome
60000,Female,University,Single,22,0,15054,1500,0
50000,Male,Graduate School,Single,25,1,0,780,1
280000,Male,Graduate School,Single,31,-1,498,9075,0
360000,Male,Graduate School,Single,33,0,218668,10000,0
70000,Female,Graduate School,Single,25,0,67521,3000,0
10000,Male,University,Single,22,0,1877,1500,0
140000,Female,University,Married,37,0,59504,3000,0
40000,Female,Graduate School,Single,30,0,18927,3000,0
210000,Male,Graduate School,Single,29,-2,0,0,1
20000,Female,Graduate School,Single,22,0,14028,3000,1
150000,Female,Others,Single,46,0,4463,1013,1
380000,Male,University,Single,32,-1,22401,21540,0
20000,Male,Graduate School,Single,24,0,17447,1318,0
70000,Male,High School,Single,42,1,37042,0,1
100000,Female,High School,Others,43,0,61559,2000,0
310000,Female,University,Married,49,-2,13465,7875,0
180000,Female,Graduate School,Single,25,1,41402,1300,0
150000,Female,Graduate School,Single,29,2,46224,1600,0
500000,Female,Graduate School,Married,45,-2,1905,3640,0
180000,Female,High School,Married,34,0,16386,8500,0
180000,Female,University,Married,34,0,175886,8083,0
200000,Female,Graduate School,Single,34,-1,1587,0,0
400000,Female,University,Married,29,0,400134,17000,0
500000,Female,High School,Married,28,0,22848,1516,1
70000,Male,University,Married,39,0,70800,4025,0
50000,Male,Graduate School,Single,29,2,24987,0,1
50000,Female,University,Married,46,0,28718,1000,1
130000,Female,University,Married,51,-1,99,0,0
200000,Male,Graduate School,Married,57,-2,152519,0,1
10000,Male,University,Married,56,2,2097,2300,1
210000,Female,Graduate School,Single,30,2,300,300,0
130000,Female,High School,Single,29,1,-190,0,0
20000,Male,Others,Single,22,2,18565,0,0
80000,Male,Graduate School,Single,31,-1,780,0,0
320000,Male,University,Single,29,2,58267,2500,1
200000,Female,University,Married,32,-1,9076,5818,0
290000,Female,Graduate School,Single,37,1,0,0,0
340000,Male,Graduate School,Single,32,-1,3048,5713,0
20000,Male,University,Single,24,0,14619,2850,0
50000,Male,High School,Single,25,-1,42838,1759,0
300000,Female,Graduate School,Married,45,-1,291,291,0
30000,Female,University,Single,22,0,28387,1686,1
240000,Female,University,Single,44,1,0,0,1
470000,Female,High School,Others,33,0,165254,6400,0
360000,Female,Graduate School,Single,26,0,23411,4796,0
60000,Male,High School,Single,30,0,26324,1576,1
400000,Female,University,Married,44,0,131595,10700,0
50000,Female,High School,Single,49,0,48909,1676,0
160000,Male,University,Single,33,0,130028,4400,0
360000,Female,Graduate School,Married,45,-1,390,1170,1
160000,Female,University,Single,32,0,3826,1147,0
130000,Female,Graduate School,Married,35,0,81313,40000,0
20000,Male,High School,Single,44,2,8583,0,0
200000,Male,Graduate School,Married,53,2,138180,6300,1
280000,Female,Graduate School,Single,39,-1,7524,0,0
100000,Female,Graduate School,Single,27,-2,-2000,7555,0
160000,Female,University,Married,37,-1,880,1602,0
60000,Female,University,Single,23,0,45648,1937,0
90000,Male,University,Single,35,0,83725,3621,0
360000,Male,Graduate School,Married,43,-1,3967,8339,0
150000,Male,Graduate School,Single,27,0,86009,4031,0
50000,Female,High School,Married,22,0,18722,1411,0
20000,Male,University,Married,38,0,17973,1699,1
140000,Male,Graduate School,Single,32,-2,672,10212,0
380000,Female,Graduate School,Single,30,-2,-81,223,0
480000,Male,Graduate School,Married,63,0,422069,16078,0
50000,Female,High School,Single,22,0,44698,1767,1
60000,Female,University,Single,26,2,56685,0,0
70000,Female,University,Single,24,-1,5580,0,0
80000,Female,University,Married,36,-1,6108,2861,0
350000,Male,Graduate School,Single,52,-1,713,2272,0
130000,Male,University,Single,38,0,171438,10908,0
360000,Male,University,Married,35,1,-103,0,0
330000,Female,Graduate School,Married,31,0,105879,9260,0
50000,Male,High School,Married,47,0,13244,2000,0
280000,Male,University,Married,41,2,135673,6500,0
100000,Female,Graduate School,Single,24,0,52128,2000,0
50000,Male,University,Single,41,0,19015,1340,0
30000,Male,Graduate School,Single,24,-1,18199,0,1
240000,Male,Graduate School,Single,28,-1,326,326,0
80000,Male,University,Single,26,2,14029,2000,1
400000,Male,University,Married,34,-1,19660,9677,0
240000,Female,University,Single,38,0,50254,2000,0
50000,Male,High School,Single,37,2,46004,1000,1
450000,Male,Graduate School,Married,40,1,0,0,1
110000,Female,Graduate School,Married,48,1,0,0,0
310000,Female,University,Married,35,2,304991,13019,1
20000,Male,Graduate School,Single,27,0,19115,1404,0
20000,Male,University,Single,23,1,0,0,0
200000,Male,High School,Single,52,0,110151,3568,0
180000,Male,Graduate School,Married,36,0,163736,4655,1
50000,Male,University,Married,51,0,3347,1000,1
60000,Male,High School,Married,55,3,60521,2504,0
30000,Female,Graduate School,Single,23,1,4000,5645,0
240000,Male,Graduate School,Single,41,1,95,2622,0
420000,Male,University,Married,34,0,253454,9744,0
330000,Male,High School,Married,46,0,227389,8210,0
30000,Female,University,Single,22,0,28452,2000,0
240000,Male,University,Married,34,0,10674,1500,0
150000,Male,Graduate School,Single,27,0,17444,2500,0
210000,Female,University,Married,33,0,7166,1500,0
50000,Female,High School,Married,51,-1,752,300,1
50000,Male,Graduate School,Single,24,0,50801,2360,0
240000,Male,Graduate School,Single,47,1,0,0,1
180000,Male,University,Single,28,-1,1832,0,0
50000,Male,University,Single,23,1,10131,1000,0
170000,Male,University,Single,29,-2,12159,10000,0
20000,Male,Graduate School,Single,29,-1,1199,15586,0
50000,Male,Graduate School,Single,28,0,4999,1000,0
170000,Female,University,Single,27,0,19269,1661,1
200000,Male,Graduate School,Single,34,1,197236,8000,0
80000,Female,University,Married,23,1,9168,1650,0
260000,Female,Graduate School,Married,60,1,-1100,0,0
140000,Male,University,Married,32,0,86627,3455,0
80000,Male,Graduate School,Single,25,0,42444,30000,0
350000,Male,Graduate School,Single,41,1,208,2906,0
280000,Female,University,Married,56,0,208775,8042,0
30000,Female,High School,Single,26,0,9014,1700,0
140000,Male,Graduate School,Married,34,0,23944,5000,0
200000,Female,Graduate School,Single,37,0,105420,4000,0
200000,Female,High School,Single,30,0,196031,7300,0
210000,Male,High School,Married,45,2,115785,10478,1
50000,Male,High School,Married,57,3,12854,0,0
30000,Male,Graduate School,Single,41,2,24357,3500,0
50000,Male,University,Single,27,2,390,390,0
290000,Male,High School,Married,47,-1,1234,396,0
250000,Female,Graduate School,Married,34,0,141223,17994,0
60000,Female,University,Married,46,0,21148,3000,0
110000,Female,Graduate School,Single,27,0,101640,5500,0
370000,Male,Graduate School,Single,50,-2,6093,15383,0
100000,Male,University,Married,27,-1,102349,3166,0
90000,Female,University,Married,35,0,72112,3500,0
50000,Female,University,Single,22,0,28040,1510,0
270000,Male,University,Single,37,0,37695,5000,0
300000,Female,Graduate School,Single,30,-1,688,3288,0
50000,Female,University,Single,22,-1,8567,15000,0
50000,Female,Graduate School,Single,24,1,-709,0,1
360000,Male,Graduate School,Single,29,1,0,0,0
130000,Male,High School,Married,56,1,64617,3000,1
80000,Male,Graduate School,Single,30,-2,6187,504,0
50000,Male,University,Single,30,1,48860,0,0
20000,Female,University,Single,22,0,16001,1212,0
80000,Female,University,Married,29,0,77883,5800,0
240000,Male,Graduate School,Single,37,-1,12212,15000,0
80000,Female,High School,Single,35,0,49608,12500,0
500000,Female,Graduate School,Married,47,0,56422,70010,0
60000,Female,University,Married,24,0,58024,2500,1
20000,Male,University,Single,25,0,10642,1200,0
100000,Female,University,Married,38,1,14483,0,1
360000,Female,Graduate School,Single,32,1,2616,57087,0
200000,Female,High School,Single,47,2,199436,8214,1
130000,Female,University,Married,34,1,0,5396,0
20000,Female,University,Single,31,1,21703,0,0
310000,Male,Graduate School,Single,32,0,59901,10020,0
60000,Female,Graduate School,Single,27,2,19625,1342,1
180000,Female,Graduate School,Single,29,-1,11386,199,0
180000,Female,Graduate School,Single,24,-1,14670,37867,0
50000,Male,University,Married,36,0,47790,2000,0
50000,Female,Graduate School,Single,24,1,36166,1900,1
150000,Female,University,Married,34,-2,0,0,0
20000,Female,Graduate School,Single,22,0,18553,1500,0
500000,Female,Graduate School,Married,34,-2,412,138,0
30000,Female,High School,Single,22,1,29010,1000,1
180000,Female,Graduate School,Married,38,-2,750,0,0
140000,Male,Graduate School,Single,31,0,27123,25000,0
140000,Female,Graduate School,Single,26,-1,13424,10000,0
120000,Male,University,Single,26,0,107314,5000,0
360000,Female,University,Married,48,0,226430,9100,0
20000,Male,High School,Married,43,-1,227,22359,0
100000,Male,Graduate School,Married,47,-1,390,1473,0
210000,Female,University,Married,41,-1,3088,1586,1
80000,Female,University,Single,24,0,81625,3200,1
330000,Female,Graduate School,Married,50,-1,8872,4345,0
220000,Male,Graduate School,Single,24,0,105607,5000,0
210000,Female,Graduate School,Married,38,1,0,0,1
40000,Female,High School,Married,43,0,38257,1700,0
30000,Male,University,Single,39,0,28347,3036,0
470000,Male,University,Single,27,2,296573,13000,0
30000,Male,High School,Married,42,-1,390,390,0
240000,Female,University,Married,36,1,-946,0,1
80000,Male,University,Single,36,2,79278,3100,0
110000,Female,High School,Others,31,0,89989,4000,0
310000,Female,Graduate School,Single,38,-1,1424,4542,0
360000,Female,Graduate School,Married,40,2,105167,12000,1
330000,Female,High School,Single,45,0,335196,12388,0
300000,Female,University,Single,35,0,291619,12019,0
320000,Female,University,Single,33,0,91653,10042,0
50000,Female,High School,Single,37,1,52626,0,1
170000,Female,Graduate School,Single,28,0,130370,6530,0
350000,Male,High School,Married,44,-1,3265,2686,0
20000,Male,University,Married,37,0,16455,1609,0
50000,Male,University,Single,23,2,49758,2401,1
20000,Female,High School,Single,24,1,19154,0,0
50000,Female,Graduate School,Single,24,0,35084,2090,0
20000,Male,University,Single,23,1,20235,0,1
50000,Male,University,Married,26,0,102800,0,0
190000,Male,University,Single,34,2,129801,5000,1
60000,Female,University,Married,33,0,58203,1506,0
80000,Male,Graduate School,Single,35,-1,7988,3983,0
150000,Female,University,Single,27,0,127402,4500,0
210000,Female,Graduate School,Single,31,-2,1440,0,0
240000,Female,High School,Married,50,0,234205,10116,1
140000,Female,University,Others,41,0,19346,3000,1
60000,Female,Graduate School,Single,28,1,21501,0,0
50000,Male,Graduate School,Single,39,0,47174,1800,0
50000,Female,University,Single,27,0,26655,1800,0
180000,Female,Graduate School,Single,32,-1,3139,2821,0
30000,Female,Graduate School,Single,40,-1,142,355,0
20000,Female,University,Single,40,0,19816,1601,0
250000,Female,University,Married,75,0,52874,1631,0
100000,Female,University,Single,27,0,37767,1788,0
330000,Male,Graduate School,Single,25,0,46140,2504,0
50000,Male,High School,Married,46,0,35713,1561,0
50000,Female,University,Single,26,1,50867,1710,0
30000,Male,University,Single,28,0,29242,5006,0
140000,Female,University,Single,26,0,101551,5366,1
160000,Female,Graduate School,Single,28,0,70243,7042,0
400000,Female,University,Single,29,-1,19532,3127,0
50000,Male,University,Married,25,0,27699,1565,0
140000,Female,University,Married,48,0,1154,1233,0
160000,Female,University,Married,33,-1,8015,2453,0
100000,Female,High School,Married,43,0,62170,0,0
220000,Male,Graduate School,Married,48,2,210380,10000,1
510000,Female,Graduate School,Single,29,0,78331,40010,0
50000,Male,University,Single,29,0,49276,1602,0
160000,Female,Graduate School,Married,38,-1,4473,4664,0
230000,Female,Graduate School,Single,37,-2,2283,51315,0
80000,Female,Graduate School,Single,37,-1,10115,258,0
150000,Female,University,Married,25,-1,6156,0,0
10000,Male,High School,Single,23,0,6974,1134,0
130000,Female,High School,Single,49,0,89003,4100,1
40000,Female,Graduate School,Single,48,0,34871,1600,0
50000,Male,University,Single,27,3,13694,1700,1
100000,Male,High School,Single,32,0,70003,2035,0
120000,Male,Graduate School,Married,34,-1,1082,0,0
260000,Female,Graduate School,Single,58,1,0,0,1
200000,Female,University,Single,33,0,11253,2000,0
360000,Female,University,Single,28,-2,0,0,1
70000,Female,University,Single,36,0,68699,4483,0
460000,Male,Graduate School,Married,40,2,171,2728,1
50000,Female,Graduate School,Single,26,-1,1156,316,0
50000,Male,High School,Married,33,0,50859,2007,0
250000,Female,University,Married,31,0,103109,4000,0
30000,Female,Graduate School,Single,27,0,1512,1000,0
270000,Male,University,Married,44,0,127543,10063,0
180000,Female,High School,Single,30,0,163935,7722,0
100000,Female,Graduate School,Single,28,0,53494,4173,0
230000,Female,High School,Married,32,0,195126,5000,0
210000,Female,Graduate School,Married,46,-1,110346,41986,0
210000,Male,Graduate School,Single,38,2,60502,3276,0
440000,Female,University,Married,46,0,180641,8610,0
100000,Female,University,Single,25,2,70896,3472,1
240000,Female,University,Married,46,0,8751,1295,0
280000,Male,Graduate School,Single,33,-1,898,898,1
50000,Female,University,Single,22,1,0,0,1
30000,Male,University,Married,43,3,1700,1100,0
10000,Male,University,Single,27,0,7015,3507,1
130000,Male,Graduate School,Single,29,1,0,0,0
200000,Male,Graduate School,Single,31,0,194353,9000,0
120000,Female,University,Married,29,-1,1686,657,0
210000,Female,University,Married,36,0,143225,6483,0
280000,Female,Graduate School,Married,36,0,58983,2755,0
300000,Male,Graduate School,Single,34,1,0,0,1
100000,Male,University,Single,37,0,99209,3490,0
440000,Female,Graduate School,Single,36,-2,0,0,0
50000,Female,High School,Married,40,0,49941,2400,0
20000,Female,Graduate School,Single,25,0,11968,2800,1
200000,Female,Graduate School,Single,27,-1,871,665,0
110000,Female,University,Single,26,-2,432,3220,0
500000,Female,University,Married,36,-1,10483,23962,0
300000,Female,University,Married,27,1,0,5215,0
30000,Male,High School,Married,55,2,9720,1200,1
60000,Female,Graduate School,Single,27,-1,20847,13809,0
400000,Female,University,Married,38,-1,3697,1000,0
180000,Female,University,Married,34,0,143301,7000,0
20000,Male,Graduate School,Single,40,0,10934,3000,0
200000,Female,High School,Married,49,-1,52439,0,1
100000,Male,Graduate School,Single,27,0,55734,1631,0
60000,Male,University,Single,23,0,49507,1970,1
110000,Female,University,Single,36,0,47819,2200,0
260000,Female,High School,Married,53,1,0,165,0
50000,Female,High School,Married,46,3,48522,3754,0
180000,Male,University,Single,29,1,-2,0,0
110000,Male,University,Single,29,1,58362,2500,1
340000,Female,Graduate School,Single,27,0,172180,21105,0
50000,Male,University,Single,24,-1,1399,1070,0
230000,Female,University,Married,28,0,26361,1710,1
360000,Female,University,Single,32,0,93029,10000,0
210000,Male,University,Single,43,1,0,0,0
220000,Female,University,Married,41,-1,650,325,1
60000,Female,University,Married,34,2,24898,3800,1
340000,Male,University,Married,55,-2,50396,44665,0
150000,Male,Graduate School,Married,40,2,99855,5200,0
200000,Female,University,Married,37,1,-179,1000,1
130000,Female,University,Single,40,0,9559,3000,1
60000,Female,Graduate School,Single,28,1,10540,0,0
400000,Female,University,Married,43,1,0,0,0
20000,Male,Graduate School,Single,27,0,20571,1323,0
190000,Female,Graduate School,Single,28,0,143464,5795,0
260000,Female,Graduate School,Single,30,0,156882,10000,0
140000,Female,University,Single,31,-2,390,0,0
50000,Female,University,Married,31,0,46512,1974,1
120000,Female,Graduate School,Single,34,-1,882,6900,0
240000,Female,University,Single,30,-2,92,92,0
50000,Male,University,Single,36,0,5916,1212,0
200000,Female,Graduate School,Single,29,-1,2393,0,0
180000,Male,Graduate School,Married,39,0,274731,11000,0
180000,Female,Graduate School,Single,26,0,145403,5440,0
160000,Female,Graduate School,Single,29,-1,3097,0,0
100000,Female,University,Single,26,-1,1370,4210,0
50000,Female,University,Single,29,0,47081,3000,1
140000,Female,University,Single,31,0,138119,6600,0
30000,Female,University,Single,26,0,17893,1411,1
90000,Male,Graduate School,Single,26,0,39128,1541,0
200000,Male,Graduate School,Married,36,1,-14386,10118,0
380000,Male,Graduate School,Single,30,1,0,0,1
80000,Female,University,Single,43,0,77057,3177,0
50000,Male,High School,Married,58,2,15899,3400,0
180000,Male,University,Married,45,-1,27679,1481,1
240000,Female,University,Single,26,0,141315,6349,0
380000,Male,University,Single,34,0,194314,9010,0
110000,Female,Others,Single,24,0,83755,3000,0
260000,Male,Graduate School,Married,34,-1,49657,291,0
500000,Female,University,Single,23,4,507726,10000,1
320000,Female,University,Single,30,0,71305,2589,0
50000,Male,University,Single,32,4,45734,0,0
110000,Male,Graduate School,Married,40,1,0,0,1
230000,Female,Graduate School,Single,35,-2,761,300,0
330000,Female,University,Married,56,1,-9,1529,0
50000,Female,University,Married,61,0,47166,3000,0
10000,Male,University,Single,24,-1,2887,0,0
300000,Male,Graduate School,Married,40,1,0,0,0
20000,Female,University,Married,32,3,20631,0,1
180000,Male,University,Married,36,2,83538,0,1
160000,Male,Graduate School,Single,30,-1,99,2977,0
90000,Female,Graduate School,Single,34,0,34302,1640,0
30000,Male,High School,Others,54,0,22987,2500,0
180000,Male,Graduate School,Married,46,0,173267,8100,0
30000,Male,High School,Married,58,0,19143,1640,0
30000,Male,University,Married,43,1,20518,0,0
140000,Female,Graduate School,Single,28,-1,10833,14000,0
210000,Male,Graduate School,Single,30,0,69937,3500,0
50000,Male,University,Single,31,0,20526,2000,1
130000,Female,University,Single,29,0,89055,4200,0
50000,Female,University,Married,37,2,1894,1500,1
140000,Male,High School,Married,36,0,100594,3000,0
170000,Female,University,Single,28,-1,2948,1105,1
80000,Male,University,Single,25,0,22619,10010,0
410000,Female,Others,Married,42,0,338106,15000,0
80000,Female,Graduate School,Single,29,1,0,80000,0
80000,Male,High School,Married,73,-1,63144,3500,1
150000,Male,University,Married,43,0,153249,7900,0
260000,Male,Graduate School,Married,30,-1,1131,291,1
350000,Male,Graduate School,Married,38,1,0,0,0
280000,Female,University,Married,39,1,-1312,38621,1
310000,Male,University,Married,44,0,103797,4400,0
140000,Female,University,Single,29,0,20110,3000,0
360000,Male,Graduate School,Married,51,-1,38000,25000,0
140000,Female,Graduate School,Single,27,0,142428,10000,0
100000,Male,Graduate School,Single,38,0,40810,2502,0
50000,Female,University,Single,22,-2,0,0,0
210000,Female,University,Married,30,0,104701,4002,0
120000,Female,University,Single,25,2,120298,4007,0
240000,Male,Graduate School,Single,29,0,156362,5233,0
60000,Female,High School,Others,42,0,41322,1488,0
150000,Male,Graduate School,Single,41,-1,1464,2091,1
30000,Male,University,Married,48,0,27879,1774,0
160000,Female,Graduate School,Single,29,2,160432,7500,1
200000,Male,Graduate School,Married,52,-2,3858,2690,0
120000,Female,University,Married,25,0,26476,6000,0
500000,Male,Graduate School,Married,37,1,507062,325,0
320000,Female,Graduate School,Single,27,0,55607,11404,0
280000,Male,Graduate School,Single,31,0,168382,10000,0
60000,Female,Graduate School,Single,23,1,29332,0,1
200000,Female,Graduate School,Married,38,-1,190,0,0
230000,Female,Graduate School,Married,32,1,0,0,0
230000,Female,University,Single,27,1,13668,0,1
480000,Female,High School,Married,41,-2,14867,26734,0
50000,Female,High School,Married,35,-1,22500,5000,0
200000,Female,Graduate School,Single,31,-2,7184,17507,0
50000,Female,Graduate School,Single,30,0,14811,2000,0
50000,Male,University,Married,48,0,44338,3629,0
260000,Female,Graduate School,Single,36,1,0,0,1
30000,Male,Graduate School,Single,24,2,25265,1500,0
440000,Female,Graduate School,Single,29,0,169661,8071,0
230000,Female,University,Single,38,-1,10237,2795,0
200000,Male,University,Married,38,2,104978,4500,1
490000,Female,University,Married,30,0,192586,10000,0
80000,Female,University,Married,32,-1,11262,0,0
20000,Female,High School,Single,49,2,9551,3000,1
170000,Female,Graduate School,Single,31,-1,199,199,1
70000,Male,Graduate School,Single,27,0,70119,3600,0
210000,Female,University,Single,33,0,212601,6000,0
90000,Female,University,Single,25,0,91894,3200,0
390000,Female,Graduate School,Single,27,0,304867,13007,1
110000,Female,Graduate School,Single,29,0,48123,2500,0
580000,Female,Graduate School,Married,36,0,159760,6422,0
360000,Male,High School,Married,55,0,9210,6015,0
270000,Female,University,Married,32,1,234752,10000,1
60000,Female,Graduate School,Single,27,-1,14072,0,0
110000,Male,High School,Married,37,0,61807,2300,0
50000,Female,Graduate School,Married,25,0,51044,2500,0
80000,Female,Graduate School,Single,23,0,77024,3212,1
50000,Male,University,Single,23,-1,350,350,0
100000,Male,Graduate School,Single,32,0,83831,4000,0
30000,Female,Graduate School,Single,26,1,0,0,0
200000,Female,Graduate School,Single,27,0,122923,5704,0
240000,Male,Graduate School,Single,44,0,246135,12026,1
220000,Male,University,Single,34,0,37304,1600,0
160000,Female,Graduate School,Single,28,0,146433,4500,0
180000,Female,Graduate School,Married,53,-1,46122,1260,0
200000,Male,Others,Married,42,0,38564,5000,0
140000,Female,High School,Married,30,0,96304,4505,0
380000,Male,Graduate School,Married,51,1,0,0,1
600000,Male,Graduate School,Married,53,2,467150,0,1
260000,Male,University,Single,37,0,255691,14000,0
200000,Female,Graduate School,Single,26,0,156786,179,0
80000,Male,University,Single,42,0,78129,2500,0
40000,Male,University,Single,39,0,40034,2027,0
130000,Male,High School,Single,39,1,71034,0,0
50000,Male,Graduate School,Single,32,-1,23974,1800,0
230000,Female,University,Married,41,-1,819,18163,0
70000,Male,University,Married,48,0,50927,2100,1
180000,Female,University,Married,38,0,152510,5657,0
80000,Female,University,Married,36,-1,1689,8638,0
290000,Female,University,Single,26,0,20807,80000,0
230000,Female,Graduate School,Single,28,0,30141,120093,0
170000,Female,High School,Others,56,1,0,0,0
230000,Male,Graduate School,Married,59,-1,208459,7536,1
220000,Male,Graduate School,Single,38,0,212795,8909,1
230000,Male,University,Single,32,0,28114,1610,0
500000,Male,University,Married,38,0,59372,10026,0
90000,Female,Graduate School,Married,41,-1,6160,3276,0
390000,Female,High School,Single,35,0,355215,13802,1
400000,Female,University,Single,41,0,366193,14020,0
180000,Male,University,Married,34,-1,2927,2790,0
60000,Male,High School,Married,38,1,29295,1800,0
120000,Female,University,Married,32,-1,4158,2682,0
60000,Female,University,Single,29,0,27199,1900,0
50000,Male,Graduate School,Single,44,0,50893,1800,0
70000,Female,University,Married,37,0,66759,2518,0
500000,Female,Graduate School,Married,38,-1,600,0,0
200000,Male,Graduate School,Single,31,-2,0,0,0
250000,Female,University,Married,40,0,44930,120041,0
140000,Male,University,Single,26,0,131367,17000,1
70000,Female,University,Single,28,0,41264,2112,0
90000,Male,High School,Married,48,1,77604,1700,0
100000,Female,University,Married,43,-1,2491,1709,0
190000,Male,University,Married,31,0,177554,7600,0
230000,Female,Graduate School,Married,42,-1,6865,15111,0
320000,Male,University,Married,39,0,93768,3317,0
220000,Female,University,Married,36,-1,396,1648,1
260000,Female,Graduate School,Married,34,-1,16426,6277,0
90000,Female,University,Single,32,-2,573,157,0
30000,Female,University,Married,43,2,28703,1300,0
260000,Male,University,Single,30,0,98560,4000,0
170000,Female,University,Single,28,0,28304,4000,0
80000,Female,Graduate School,Married,28,0,8574,1203,1
50000,Male,Graduate School,Married,41,-1,508,1000,0
200000,Female,High School,Single,47,0,203183,7521,0
20000,Male,University,Single,23,0,16440,7403,0
250000,Female,Graduate School,Married,49,-1,66,0,0
20000,Male,Graduate School,Married,38,0,15912,1623,0
30000,Female,University,Married,38,0,20344,2000,0
90000,Female,University,Married,35,1,23132,0,0
230000,Female,Others,Single,46,0,221590,10000,0
130000,Female,Graduate School,Married,33,0,19161,2000,1
30000,Male,Others,Married,53,-2,0,0,0
160000,Male,Graduate School,Single,35,-1,396,396,0
500000,Female,University,Single,43,-1,3959,0,0
180000,Female,University,Single,28,0,42238,2500,0
80000,Female,University,Married,30,0,21507,1700,0
120000,Male,Graduate School,Single,26,-1,884,0,0
130000,Male,University,Married,31,-1,1261,1261,0
120000,Female,University,Single,35,-1,240,240,1
360000,Male,Graduate School,Single,28,-1,20223,53228,0
50000,Male,University,Single,23,2,29509,2000,1
20000,Female,University,Single,23,0,18355,2900,0
100000,Male,High School,Married,56,0,94265,2385,0
70000,Male,High School,Married,32,0,68739,3060,0
50000,Male,University,Married,47,0,13917,3000,0
10000,Female,University,Single,22,1,10250,0,0
290000,Female,Graduate School,Married,34,0,93844,6000,0
30000,Female,Graduate School,Married,31,0,16496,1597,0
410000,Female,University,Single,27,1,-58,33049,0
360000,Male,Graduate School,Single,28,-1,1210,390,1
140000,Female,University,Married,42,0,111496,6022,1
210000,Female,Graduate School,Single,32,0,67374,3200,0
220000,Female,University,Single,27,-1,1692,13250,0
20000,Male,University,Single,27,1,18649,0,0
620000,Female,University,Married,45,2,160837,0,1
360000,Male,Graduate School,Single,26,1,-8,0,0
20000,Female,University,Single,21,-1,18763,14410,0
50000,Male,University,Single,23,0,34549,2836,0
50000,Male,University,Others,30,0,97538,2454,0
10000,Male,University,Single,46,0,4073,2400,1
100000,Female,High School,Married,50,2,53849,2050,1
50000,Male,Graduate School,Single,26,-2,2411,3068,0
60000,Male,University,Single,25,-1,480,1675,0
440000,Female,Graduate School,Single,35,0,330759,13100,0
120000,Male,University,Married,44,0,92007,5417,0
50000,Female,Graduate School,Single,52,0,3257,1000,0
110000,Female,University,Married,40,1,92638,600,0
200000,Female,Graduate School,Single,38,-1,399,0,0
150000,Female,Graduate School,Single,28,1,0,0,0
30000,Female,University,Married,36,2,28778,0,1
100000,Female,Graduate School,Single,24,0,30092,1553,0
360000,Female,Graduate School,Married,34,-1,12339,10000,0
390000,Female,Graduate School,Single,31,0,50620,5000,0
220000,Female,Graduate School,Married,41,1,-65,0,1
160000,Female,University,Single,25,-2,0,0,0
230000,Female,Graduate School,Single,28,-1,2403,7357,0
120000,Male,Graduate School,Single,27,0,52437,5024,0
100000,Male,High School,Married,52,0,4657,1500,1
190000,Female,Graduate School,Single,41,-1,28204,0,1
50000,Male,Graduate School,Married,56,0,50715,2500,1
240000,Female,Graduate School,Married,42,1,0,6370,0
40000,Female,University,Single,24,-2,35285,2000,0
630000,Female,University,Married,47,0,37850,38187,0
160000,Female,Graduate School,Married,33,-2,5233,5401,0
110000,Female,University,Single,32,0,65299,11000,0
20000,Male,University,Single,29,0,17208,2055,0
210000,Female,High School,Married,53,0,57192,2800,0
270000,Male,Graduate School,Single,34,-1,5780,12006,0
360000,Female,University,Single,52,-2,640,2231,0
