S0,L,ms,mv,SN112EK42.5,SN112EK47.5,SN112EK52.5,SN112EK57.5,SN112EK62.5,SN112EK67.5,SN112EK72.5,SN112EK77.5,SN112EK82.5,SN112EK87.5,SN124EK42.5,SN124EK47.5,SN124EK52.5,SN124EK57.5,SN124EK62.5,SN124EK67.5,SN124EK72.5,SN124EK77.5,SN124EK82.5,SN124EK87.5,DREK12.5,DREK17.5,DREK22.5,DREK27.5,DREK32.5,DREK37.5,DREK42.5,DREK47.5,DREK52.5,DREK60.0,DREK70.0,DREK80.0,DREK87.5,SN112EK42.5_Error,SN112EK47.5_Error,SN112EK52.5_Error,SN112EK57.5_Error,SN112EK62.5_Error,SN112EK67.5_Error,SN112EK72.5_Error,SN112EK77.5_Error,SN112EK82.5_Error,SN112EK87.5_Error,SN124EK42.5_Error,SN124EK47.5_Error,SN124EK52.5_Error,SN124EK57.5_Error,SN124EK62.5_Error,SN124EK67.5_Error,SN124EK72.5_Error,SN124EK77.5_Error,SN124EK82.5_Error,SN124EK87.5_Error,DREK12.5_Error,DREK17.5_Error,DREK22.5_Error,DREK27.5_Error,DREK32.5_Error,DREK37.5_Error,DREK42.5_Error,DREK47.5_Error,DREK52.5_Error,DREK60.0_Error,DREK70.0_Error,DREK80.0_Error,DREK87.5_Error
28.481,52.5,0.9,1.014999551,1.03239,1.00137,0.973458,0.9484,0.926198,0.906989,0.89077,0.876285,0.863532,0.850213,1.37116,1.3592,1.35076,1.34207,1.33313,1.32693,1.32346,1.31824,1.31127,1.30525,1.18414,1.19835,1.21653,1.24092,1.27152,1.30082,1.32883,1.35797,1.38824,1.42765,1.47468,1.51158,1.53544,0.001713,0.0018645,0.0020295,0.002213,0.002415,0.00264275,0.00289625,0.00318175,0.00349925,0.00384975,0.0021575,0.0023985,0.0026675,0.00296025,0.00327675,0.003636,0.004038,0.0044805,0.0049635,0.00550475,0.00150973,0.00159225,0.00177447,0.00201542,0.00231509,0.00265982,0.00304959,0.00349608,0.00399929,0.00486526,0.00625286,0.00796472,0.0095203
29.511,39.9,0.876,1.054999763,1.07197,1.04404,1.01881,0.996309,0.976542,0.95904,0.943802,0.929423,0.915905,0.903993,1.42109,1.41777,1.41702,1.41523,1.4124,1.41387,1.41964,1.42741,1.43717,1.44469,1.18235,1.19648,1.21556,1.2386,1.2656,1.29486,1.32636,1.35856,1.39147,1.43379,1.48958,1.55283,1.59833,0.00177375,0.00194225,0.00212675,0.00233175,0.00255725,0.0028125,0.0030975,0.00341225,0.00375675,0.00415125,0.0022535,0.00252575,0.00282925,0.00316375,0.00352925,0.0039485,0.0044215,0.0049655,0.0055805,0.0062645,0.00150118,0.00158289,0.00176618,0.00200519,0.00229991,0.00264822,0.0030501,0.00351119,0.00403149,0.00492971,0.00640366,0.00833495,0.0101125
34.455,110.1,0.924,0.944999979,0.990684,0.96004,0.933675,0.909954,0.888876,0.869645,0.852262,0.837569,0.825567,0.813187,1.32312,1.30955,1.29881,1.29046,1.28449,1.27727,1.26879,1.26178,1.25624,1.2509,1.18012,1.19925,1.22136,1.24733,1.27716,1.30684,1.33635,1.36462,1.39165,1.43209,1.47903,1.51424,1.53848,0.00164325,0.00178025,0.00193075,0.0020975,0.0022805,0.00248375,0.00270725,0.002963,0.003251,0.0035655,0.0020845,0.00230275,0.00254425,0.00281325,0.00310975,0.00343575,0.00379125,0.00418475,0.00461625,0.005109,0.00152831,0.00161865,0.00180814,0.00205033,0.00234523,0.00268458,0.00306838,0.00349876,0.00397571,0.00481281,0.00614197,0.0077635,0.00923608
34.043,50.7,0.644,0.81499989,1.10772,1.08116,1.05423,1.03135,1.01249,0.99311,0.973197,0.956625,0.943395,0.927993,1.46048,1.4625,1.46645,1.47171,1.47826,1.48303,1.48602,1.49102,1.49801,1.50417,1.17723,1.19001,1.20708,1.23,1.25877,1.28843,1.31899,1.35343,1.39175,1.44396,1.51065,1.57356,1.62141,0.0018765,0.0020575,0.0022545,0.00248025,0.00273475,0.00301875,0.00333225,0.00369475,0.00410625,0.00456275,0.00242925,0.00273325,0.00307575,0.00346925,0.00391375,0.004411,0.004961,0.00559725,0.00631975,0.0071395,0.00159872,0.00167436,0.00185024,0.00208632,0.00238259,0.00273397,0.00314044,0.00362322,0.0041823,0.00517889,0.00684787,0.00903062,0.0111141
26.215,102.9,0.78,0.844999979,0.897285,0.863974,0.836752,0.81252,0.791278,0.772002,0.754691,0.739764,0.727218,0.716435,1.16868,1.14156,1.11812,1.09904,1.08433,1.07096,1.05894,1.0473,1.03605,1.02734,1.17248,1.19135,1.21118,1.23338,1.25796,1.28122,1.30318,1.32165,1.33662,1.36185,1.39547,1.42031,1.43405,0.00152575,0.00163875,0.00176825,0.00191325,0.00207375,0.002254,0.002454,0.0026825,0.0029395,0.003235,0.00186625,0.0020285,0.0022095,0.002415,0.002645,0.0029025,0.0031875,0.00350575,0.00385725,0.00426,0.00160269,0.00168615,0.00186715,0.00209793,0.00237852,0.00269658,0.00305213,0.00344609,0.00387846,0.0046449,0.00588652,0.00742075,0.00880391
27.863,81.3,0.684,0.67499999,0.935704,0.895263,0.860392,0.828773,0.800406,0.77565,0.754507,0.733421,0.712393,0.696175,1.2255,1.19174,1.16223,1.13578,1.11239,1.08962,1.06747,1.04598,1.02517,1.00707,1.18134,1.19927,1.22091,1.24292,1.26529,1.28783,1.31055,1.33174,1.35141,1.38062,1.41,1.43289,1.44659,0.00161225,0.00171975,0.00184125,0.00197625,0.00212475,0.00229625,0.00249075,0.00270075,0.00292625,0.00320125,0.00198625,0.00214825,0.00232675,0.00252575,0.00274525,0.002988,0.003254,0.0035435,0.0038565,0.0042145,0.00165523,0.00173608,0.00192051,0.00215152,0.00242909,0.00274988,0.00311388,0.00352215,0.0039747,0.00477063,0.00602912,0.00759797,0.00900774
27.039,93.9,0.66,0.984999914,0.970407,0.940277,0.916194,0.894327,0.874673,0.857249,0.842055,0.827939,0.814902,0.805633,1.25397,1.24088,1.23479,1.23179,1.23187,1.23237,1.23328,1.23488,1.23716,1.24453,1.16826,1.18234,1.20118,1.22124,1.24253,1.26643,1.29295,1.32024,1.34829,1.39337,1.45146,1.50515,1.54492,0.001699,0.0018465,0.0020155,0.00220775,0.00242325,0.00266825,0.00294275,0.00325475,0.00360425,0.0040205,0.002089,0.00231675,0.00258025,0.002883,0.003225,0.00361275,0.00404625,0.00454375,0.00510525,0.00577975,0.00164354,0.00171613,0.00189519,0.0021259,0.00240827,0.00274519,0.00313668,0.0035893,0.00410304,0.00504336,0.00660103,0.00862816,0.0105479
33.013,101.1,0.852,1.065000245,1.0109,0.983213,0.960695,0.94098,0.924067,0.910037,0.898889,0.889082,0.880617,0.872387,1.33896,1.33317,1.33173,1.33277,1.33627,1.34146,1.34834,1.35429,1.35933,1.36636,1.17469,1.19232,1.21553,1.23968,1.26477,1.29331,1.3253,1.35645,1.38675,1.43162,1.48728,1.53358,1.5664,0.0017045,0.0018585,0.0020315,0.002225,0.002439,0.00268175,0.00295325,0.00326125,0.00360575,0.00398925,0.0021415,0.00238725,0.00266375,0.002978,0.00333,0.00372825,0.00417275,0.0046685,0.0052155,0.00585125,0.00154136,0.00162633,0.00181618,0.00205674,0.00234802,0.00269283,0.00309119,0.00354277,0.0040476,0.0049417,0.00638282,0.00817651,0.00982853
31.571,38.1,0.764,0.754999993,1.06613,1.03002,0.995255,0.961843,0.929783,0.901983,0.878441,0.854928,0.831441,0.81065,1.41838,1.4001,1.38116,1.36303,1.3457,1.32594,1.30374,1.28389,1.26639,1.24972,1.18682,1.20255,1.22339,1.24719,1.27395,1.30194,1.33117,1.36002,1.38849,1.43299,1.47737,1.51289,1.54189,0.00178275,0.00193025,0.00208875,0.00225825,0.00243875,0.002646,0.00288,0.0031335,0.0034065,0.00371575,0.00224775,0.0024825,0.0027355,0.003013,0.003315,0.00363675,0.00397825,0.00436325,0.00479175,0.0052745,0.00154537,0.00162957,0.00181523,0.00205415,0.00234631,0.00268768,0.00307825,0.00352279,0.0040213,0.00490967,0.00629291,0.00802616,0.00963066
30.953,70.5,0.652,1.075000262,1.07979,1.05635,1.03618,1.01648,0.997264,0.98051,0.966221,0.953969,0.943755,0.934708,1.40813,1.41366,1.42187,1.43279,1.44642,1.46281,1.48196,1.50244,1.52424,1.54021,1.17208,1.18334,1.19985,1.21947,1.24221,1.27062,1.3047,1.33874,1.37272,1.43056,1.51329,1.59533,1.64795,0.0018435,0.00203025,0.00224075,0.0024755,0.0027345,0.0030315,0.0033665,0.0037555,0.0041985,0.004707,0.002311,0.002612,0.002954,0.00335025,0.00380075,0.00433125,0.00494175,0.00565125,0.00645975,0.007366,0.00157791,0.00165038,0.0018247,0.00205369,0.00233734,0.00268595,0.00309952,0.00358004,0.00412751,0.00515112,0.00691187,0.00927138,0.0114633
34.661,68.7,0.844,0.934999645,1.06687,1.03851,1.01148,0.987597,0.966865,0.946295,0.92589,0.908161,0.893107,0.880923,1.4297,1.42739,1.42547,1.42306,1.42017,1.41847,1.41794,1.4175,1.41714,1.41942,1.18278,1.19952,1.22079,1.24606,1.27533,1.30691,1.34079,1.37515,1.40999,1.45533,1.51573,1.57412,1.61147,0.00178675,0.001952,0.00213,0.00232925,0.00254975,0.0027885,0.0030455,0.0033405,0.0036735,0.00405375,0.002277,0.00254925,0.00284775,0.0031785,0.0035415,0.0039485,0.0043995,0.00490375,0.00546125,0.006108,0.0015204,0.00160748,0.00179583,0.00204085,0.00234253,0.00269863,0.00310917,0.00357819,0.00410571,0.00502044,0.00652048,0.00843206,0.0101689
26.627,88.5,0.676,0.714999978,0.917462,0.880085,0.846724,0.818363,0.795001,0.77108,0.746599,0.727724,0.714455,0.700722,1.19218,1.16246,1.13701,1.11386,1.09299,1.07353,1.05547,1.04094,1.02995,1.01652,1.17842,1.19587,1.21499,1.23569,1.25798,1.27946,1.30013,1.32147,1.34349,1.36825,1.40349,1.43615,1.45078,0.001596,0.0017075,0.0018305,0.0019735,0.0021365,0.002312,0.0025,0.0027265,0.0029915,0.003284,0.00195025,0.002116,0.0023,0.00250575,0.00273325,0.0029865,0.0032655,0.0035875,0.0039525,0.004351,0.0016703,0.00174897,0.00192898,0.00215774,0.00243524,0.0027551,0.00311733,0.00352967,0.00399214,0.00478204,0.00609215,0.00774999,0.00922696
30.335,115.5,0.62,1.044999534,0.983645,0.955245,0.930963,0.909817,0.891806,0.875916,0.862147,0.850953,0.842334,0.833427,1.27088,1.26232,1.25959,1.25995,1.26339,1.26897,1.27669,1.28514,1.29431,1.3062,1.16722,1.17833,1.19408,1.21444,1.23939,1.26548,1.29268,1.32206,1.35361,1.40122,1.46516,1.52361,1.56756,0.00173225,0.00188725,0.00206175,0.0022635,0.0024925,0.0027555,0.0030525,0.00340225,0.00380475,0.00426,0.00213725,0.002381,0.002663,0.0029895,0.0033605,0.0037895,0.0042765,0.0048465,0.0054995,0.00626675,0.00166331,0.00172954,0.00190139,0.00213157,0.00242007,0.00276249,0.00315882,0.00362372,0.00415718,0.00512932,0.00676876,0.00893146,0.011014
28.893,119.1,0.988,0.735000253,0.893324,0.850249,0.813204,0.777651,0.743587,0.713735,0.688094,0.662889,0.638122,0.615241,1.16409,1.12337,1.08557,1.05027,1.01746,0.984557,0.951559,0.918478,0.885315,0.857534,1.1672,1.19021,1.21495,1.23837,1.26048,1.28235,1.30399,1.32167,1.3354,1.36004,1.38126,1.38652,1.39411,0.001372,0.0014425,0.0015215,0.00160475,0.00169225,0.0017925,0.0019055,0.00202525,0.00215175,0.002292,0.001667,0.00177,0.00188,0.001998,0.002124,0.00225525,0.00239175,0.00253375,0.00268125,0.00285525,0.00147622,0.00156739,0.00174143,0.00194738,0.00218523,0.00245292,0.00275044,0.00307164,0.00341653,0.00402487,0.00494414,0.00601287,0.00698649
30.129,83.1,0.748,0.645000084,0.956119,0.912382,0.87198,0.835878,0.804079,0.774989,0.74861,0.723229,0.698846,0.677756,1.26425,1.22461,1.18471,1.15009,1.12073,1.09182,1.06335,1.03554,1.00839,0.981991,1.18697,1.20731,1.22952,1.2527,1.27684,1.30032,1.32312,1.34275,1.35922,1.38538,1.41492,1.43767,1.44889,0.00159125,0.001687,0.001789,0.001904,0.002032,0.00217225,0.00232475,0.0024915,0.0026725,0.00288225,0.001971,0.00211525,0.00226575,0.00243475,0.00262225,0.002823,0.003037,0.00327,0.003522,0.003793,0.00160591,0.00169184,0.00187416,0.00210135,0.00237342,0.00268309,0.00303038,0.00341171,0.00382708,0.0045571,0.00570072,0.00710469,0.00834172
31.777,92.1,0.828,1.035000114,1.01234,0.985333,0.96149,0.941373,0.924983,0.907882,0.890072,0.877653,0.870626,0.864797,1.33774,1.33056,1.32889,1.32715,1.32533,1.33002,1.34121,1.34669,1.34646,1.34966,1.17491,1.19261,1.21443,1.23973,1.26851,1.29594,1.32202,1.35094,1.38271,1.42161,1.48654,1.54056,1.56074,0.00171425,0.00187,0.002042,0.00223675,0.00245425,0.00269,0.002944,0.00324775,0.00360125,0.00400275,0.00214975,0.00239575,0.00267525,0.00298425,0.00332275,0.0037235,0.0041865,0.00468525,0.00521975,0.0058395,0.00154936,0.00163473,0.00182285,0.00206668,0.00236623,0.00270941,0.00309621,0.00354575,0.00405802,0.00493282,0.00643339,0.00828926,0.00989812
35.485,57.9,0.916,1.084999917,1.09995,1.07566,1.05306,1.03345,1.01682,1.0037,0.994088,0.981833,0.966931,0.956302,1.47387,1.48086,1.48957,1.49826,1.50692,1.5175,1.53001,1.54223,1.55416,1.56691,1.17958,1.1961,1.21843,1.24398,1.27275,1.30495,1.34057,1.3773,1.41512,1.46627,1.5257,1.58946,1.63863,0.00180525,0.0019865,0.0021835,0.00240325,0.00264575,0.00292475,0.00324025,0.00357575,0.00393125,0.0043505,0.00230925,0.00261,0.002946,0.00332,0.003732,0.0042025,0.0047315,0.00532725,0.00598975,0.0067455,0.00147506,0.00155976,0.00174608,0.00198726,0.0022833,0.00263798,0.00305132,0.00352754,0.00406665,0.00500321,0.00650779,0.00846566,0.0102767
26.421,54.3,0.788,0.784999998,0.978739,0.939434,0.902539,0.870067,0.84202,0.81526,0.789786,0.76862,0.751763,0.733198,1.28854,1.25794,1.22844,1.2021,1.17891,1.15711,1.13672,1.11838,1.1021,1.08347,1.18666,1.20227,1.22238,1.2451,1.27042,1.29448,1.31726,1.33969,1.36178,1.39131,1.42977,1.46072,1.47799,0.00165525,0.00177625,0.00190475,0.00205,0.002212,0.0023905,0.0025855,0.00281,0.003064,0.003337,0.0020525,0.002235,0.002431,0.00264825,0.00288675,0.00315125,0.00344175,0.0037635,0.0041165,0.004499,0.00157324,0.00165785,0.00184464,0.00208265,0.00237189,0.00270195,0.00307282,0.00349044,0.00395481,0.00475916,0.0060703,0.00768447,0.00913155
29.717,32.7,0.708,0.634999908,1.04298,0.998871,0.956263,0.916092,0.878359,0.843323,0.810982,0.781669,0.755383,0.729026,1.37883,1.34638,1.31373,1.27917,1.24268,1.20612,1.16947,1.13735,1.10976,1.07884,1.18834,1.20439,1.22522,1.24777,1.27204,1.29707,1.32286,1.34873,1.37469,1.40614,1.43647,1.46244,1.48002,0.00173875,0.00185875,0.00198425,0.00212025,0.00226675,0.002427,0.002601,0.0027975,0.0030165,0.00324925,0.002167,0.002357,0.002557,0.00276725,0.00298775,0.00322075,0.00346625,0.00374125,0.00404575,0.00436325,0.00158059,0.00166113,0.00184234,0.0020718,0.00234949,0.00267342,0.0030436,0.00346154,0.00392725,0.00472746,0.0059784,0.00753397,0.00893714
34.867,61.5,0.628,0.794999967,1.10063,1.07335,1.04852,1.0241,1.0001,0.980454,0.96517,0.947649,0.92789,0.912034,1.45198,1.45294,1.45591,1.45964,1.46413,1.46897,1.47417,1.47923,1.48414,1.48845,1.17741,1.19193,1.2115,1.23327,1.25723,1.28611,1.31991,1.35426,1.38916,1.44532,1.51315,1.58082,1.63227,0.0018785,0.0020575,0.0022565,0.002478,0.002722,0.0030065,0.0033315,0.0036845,0.0040655,0.0045165,0.00236975,0.00266375,0.00299525,0.00337425,0.00380075,0.0042865,0.0048315,0.00544925,0.00613975,0.0069265,0.00159775,0.00167529,0.00185345,0.00208477,0.00236923,0.00271669,0.00312715,0.00360434,0.00414823,0.00515747,0.00682307,0.00902998,0.0111152
29.099,90.3,0.636,0.885000359,0.993097,0.962398,0.935508,0.91128,0.889714,0.869999,0.852136,0.839062,0.830774,0.820539,1.29573,1.28367,1.27576,1.268,1.2604,1.2556,1.25361,1.25428,1.25763,1.2637,1.17241,1.18458,1.20167,1.22349,1.25006,1.27739,1.30546,1.33445,1.36435,1.4045,1.45761,1.50447,1.54047,0.00174475,0.00189675,0.00206825,0.00226175,0.00247725,0.002723,0.002999,0.00332925,0.00371375,0.0041385,0.00216925,0.0024075,0.0026765,0.00297925,0.00331575,0.00370325,0.00414175,0.0046575,0.0052505,0.0059405,0.00165355,0.00172481,0.00190221,0.00213818,0.00243271,0.00277989,0.00317973,0.00364368,0.00417174,0.00510723,0.00667395,0.00870514,0.0106484
33.219,108.3,0.772,0.724999978,0.956354,0.92135,0.890873,0.860411,0.829965,0.805773,0.787837,0.769456,0.750632,0.735227,1.2713,1.2443,1.2217,1.20059,1.18099,1.16168,1.14266,1.12438,1.10684,1.09205,1.1781,1.19934,1.22369,1.25142,1.28252,1.30871,1.32998,1.35103,1.37188,1.4099,1.44618,1.46815,1.48542,0.00161275,0.00172975,0.00185925,0.00199575,0.00213925,0.00230975,0.00250725,0.0027205,0.0029495,0.00321875,0.00201525,0.0021925,0.0023895,0.002605,0.002839,0.00309375,0.00336925,0.003674,0.004008,0.00438625,0.00159408,0.0016845,0.00187421,0.00211569,0.00240894,0.00273363,0.00308974,0.00349064,0.00393631,0.00474327,0.00597919,0.00747564,0.00883957
27.245,48.9,0.956,0.744999875,0.975936,0.919364,0.866417,0.817485,0.77257,0.729435,0.68808,0.650834,0.617698,0.586692,1.29326,1.23653,1.17867,1.12317,1.07003,1.01645,0.96243,0.912074,0.865378,0.822492,1.20316,1.2205,1.24091,1.26113,1.28116,1.30286,1.32623,1.34565,1.36111,1.37995,1.39632,1.40117,1.40201,0.0015565,0.001634,0.001714,0.00179875,0.00188825,0.00197875,0.00207025,0.00217675,0.00229825,0.00242825,0.00192775,0.0020435,0.0021565,0.00227375,0.00239525,0.00251175,0.00262325,0.00274625,0.00288075,0.00302825,0.0015124,0.00160227,0.00178456,0.00200635,0.00226761,0.00256912,0.00291088,0.00328319,0.00368605,0.0043712,0.0054216,0.00667743,0.00779843
